,Null Count,Null Percentage (%),Dtype
PreRdiaage,503,92.12454212454212,float64
PreRlastmonthavg,499,91.39194139194139,object
PreRalmlperday,498,91.20879120879121,object
PreRdrinktype,496,90.84249084249085,object
PreRalthreemonthsuse,495,90.65934065934066,object
PreRallastmonthuse,495,90.65934065934066,object
PreRtobsmoking,487,89.1941391941392,object
PreRalyear,486,89.01098901098901,object
PreRtobaverage,478,87.54578754578755,float64
PreRstoyear,453,82.96703296703298,float64
PreRstodailyuse,442,80.95238095238095,float64
PreRvigorousduration,359,65.75091575091575,object
PreRdiastolicsecond,311,56.959706959706956,float64
PreRsystolicsecond,305,55.86080586080586,float64
PreRmoderateduration,304,55.67765567765568,object
PostRdiastolicsecond,286,52.38095238095239,float64
PostRsystolicsecond,284,52.01465201465202,float64
PreRmildactivityduration,251,45.97069597069597,object
PreRstsocialvalue,231,42.30769230769231,float64
PreRstworkvalue,196,35.8974358974359,float64
PreRstfinancialvalue,192,35.16483516483517,float64
PreRstfamilyvalue,191,34.98168498168498,float64
PreRsthealthvalue,186,34.065934065934066,float64
PreRsleepquality,151,27.655677655677657,object
PreRlessvegetable,135,24.725274725274726,object
PreRmeat,134,24.54212454212454,object
PreRfriedfood,133,24.358974358974358,object
PreRdiastolicfirst,132,24.175824175824175,float64
PreRdrink,132,24.175824175824175,object
PreRpopcorn,131,23.992673992673993,object
PreRmilk,130,23.809523809523807,object
PreRstaplefood,130,23.809523809523807,object
PreRsweet,127,23.26007326007326,object
diastolic,126,23.076923076923077,float64
PreRhip,124,22.71062271062271,float64
PreRpresentoccupation,123,22.52747252747253,object
PreRskipbreakfast,123,22.52747252747253,object
PreRlessfruit,121,22.16117216117216,object
PreRlessfiber,118,21.611721611721613,object
PreBLPPBS,118,21.611721611721613,float64
PreRsystolicfirst,109,19.963369963369964,float64
systolic,106,19.413919413919416,float64
PreReducation,105,19.230769230769234,object
PostRdiastolicfirst,105,19.230769230769234,float64
PostRsystolicfirst,94,17.216117216117215,float64
PreRheight,92,16.84981684981685,float64
PreRweight,86,15.75091575091575,float64
PreBLFBS,48,8.791208791208792,float64
PreRwaist,37,6.7765567765567765,float64
PreBLCHOLESTEROLLDL,35,6.41025641025641,float64
PostBLHBA1C,20,3.6630036630036633,float64
PreBLTRIGLYCERIDES,11,2.0146520146520146,float64
PreBLAge,10,1.8315018315018317,float64
postblage,10,1.8315018315018317,float64
PreBLCHOLESTEROL,8,1.465201465201465,float64
PreRtobdaily,5,0.9157509157509158,float64
PreRtobuse,2,0.3663003663003663,float64
PostRgroupname,0,0.0,int64
PreRcurrentworking,0,0.0,int64
PreRgender,0,0.0,object
PreRarea,0,0.0,object
PreRmaritalstatus,0,0.0,object
PreRdiasister,0,0.0,int64
PreRdiabrother,0,0.0,int64
PreRdiamother,0,0.0,int64
PreRdiafather,0,0.0,int64
PhysicalActivity_Optimal,0,0.0,object
PreRalcoholuse,0,0.0,int64
PreRalthreemonths,0,0.0,int64
PreRallastmonth,0,0.0,int64
PreRstocurrent,0,0.0,int64
PreRstodaily,0,0.0,int64
PreRstouse,0,0.0,int64
PreRtobdailyuse,0,0.0,int64
PreRtobcurrent,0,0.0,int64
PreBLHBA1C,0,0.0,float64
Diabetic_Duration(years),0,0.0,int64
Duration_Status,0,0.0,object
