column,unique_count,top,top_count,unique_preview,dtype
PreBLTRIGLYCERIDES,444,89.0,49,"134.0, 543.0, 149.0, 51.0, 242.0, 148.0, 73.0, 515.0, 108.0, 229.0, 235.0, 118.0, 120.0, 100.0, 169.0, 109.0, 119.0, 125.0, 210.0, 222.0, ...",float64
PreBLPPBS,413,98.0,62,"197.0, 333.0, 187.0, 239.0, 81.0, 111.0, 414.0, 208.0, 110.0, 98.0, 82.0, 108.0, 255.0, 114.0, 97.0, 157.0, 347.0, 104.0, 107.0, 117.0, ...",float64
PreBLFBS,311,95.0,156,"146.0, 239.0, 125.0, 184.0, 91.0, 127.0, 80.0, 82.0, 404.0, 165.0, 109.0, 150.0, 85.0, 86.0, 90.0, 136.0, 96.0, 115.0, 486.0, 170.0, ...",float64
PreBLCHOLESTEROL,247,180.0,72,"162.0, 198.0, 201.0, 105.0, 137.0, 150.0, 158.0, 178.0, 292.0, 172.0, 196.0, 193.0, 97.0, 167.0, 258.0, 204.0, 184.0, 209.0, 163.0, 141.0, ...",float64
PostRsystolicfirst,209,120.0,324,"150, 131, 132, 110, 111, 142, 135, 130, 122, 129, 170, 148, 164, 154, 137, 123, 120, 141, 140, 160, ...",object
PreBLCHOLESTEROLLDL,190,84.0,77,"69.0, 50.0, 119.0, 51.0, 49.0, 87.0, 97.0, 91.0, 167.0, 98.0, 108.0, 104.0, 39.0, 92.0, 173.0, 114.0, 117.0, 135.0, 99.0, 70.0, ...",float64
PostRsystolicsecond,182,120,209,"115, 140, 130, 120, 125, 166, 131, 165, 135, 162, 98, 127, 138, 159, 170, 110, 132, 109, 90, 146, ...",object
PostRdiastolicfirst,149,80.0,277,"80, 94, 69, 77, 88, 92, 120, 87, 79, 75, 113, 118, 86, 104, 150, 66, 82, 74, 68, 85, ...",object
PostBLHBA1C,118,5.4,327,"8.1, 6.7, 7.4, 6.2, 10.2, 5.0, 5.6, 10.0, 8.6, 9.0, 9.9, 6.5, 5.2, 5.7, 5.5, 5.8, 6.8, 6.3, 10.3, 8.5, ...",float64
PreBLHBA1C,114,5.4,298,"6.7, 8.6, 6.8, 7.9, 6.1, 7.7, 4.7, 6.6, 12.2, 10.4, 7.5, 6.9, 5.3, 5.7, 6.5, 5.9, 6.0, 5.8, 13.9, 11.4, ...",float64
PostRdiastolicsecond,109,80,228,"72, 76, 81, 88, 86, 80, 114, 83, 119, 79, 111, 96, 84, 74, 78, 98, 100, 90, 120, 82, ...",object
PreRsystolicfirst,96,120.0,41,"136.0, 99.0, 115.0, 116.0, 117.0, 102.0, 120.0, 125.0, 107.0, 100.0, 124.0, 130.0, 123.0, 127.0, 162.0, 161.0, 143.0, 140.0, 128.0, 145.0, ...",float64
systolic,94,120.0,41,"136.0, 99.0, 115.0, 116.0, 117.0, 102.0, 125.0, 120.0, 100.0, 124.0, 130.0, 128.0, 127.0, 162.0, 161.0, 143.0, 140.0, 145.0, 156.0, 133.0, ...",float64
PreRweight,85,60.0,27,"69.0, 74.0, 39.0, 60.0, 76.0, 67.0, 46.0, 65.0, 50.0, 61.0, 66.0, 55.0, 64.0, 38.0, 59.0, 58.0, 41.0, 79.0, 89.0, 93.0, ...",float64
PreBLAge,67,60.0,341,"59.0, 54.0, 52.0, 68.0, 67.0, 55.0, 22.0, 33.0, 58.0, 60.0, 51.0, 62.0, 39.0, 71.0, 43.0, 45.0, 70.0, 46.0, 32.0, 50.0, ...",float64
postblage,67,60.0,341,"59.0, 54.0, 52.0, 68.0, 67.0, 55.0, 22.0, 33.0, 58.0, 60.0, 51.0, 62.0, 39.0, 71.0, 43.0, 45.0, 70.0, 46.0, 32.0, 50.0, ...",float64
