column,unique_count,top,top_count,unique_preview,dtype
PreBLPPBS,300,121.0,10,"375.0, 116.0, 154.0, 317.0, 165.0, 180.0, 125.0, 97.0, 245.0, 87.0, 139.0, 247.0, 208.0, 340.0, 411.0, 458.0, 194.0, 397.0, 121.0, 252.0, ...",float64
PreBLTRIGLYCERIDES,278,141.0,14,"651.0, 83.0, 206.0, 156.0, 190.0, 155.0, 90.0, 110.0, 293.0, 249.0, 141.0, 92.0, 134.0, 395.0, 315.0, 157.0, 197.0, 289.0, 165.0, 244.0, ...",float64
PreBLFBS,233,98.0,14,"273.0, 88.0, 121.0, 149.0, 111.0, 95.0, 143.0, 134.0, 145.0, 94.0, 108.0, 107.0, 122.0, 308.0, 280.0, 282.0, 163.0, 256.0, 207.0, 102.0, ...",float64
PreBLCHOLESTEROL,191,163.0,16,"199.0, 146.0, 155.0, 176.0, 164.0, 137.0, 186.0, 171.0, 184.0, 191.0, 129.0, 207.0, 210.0, 284.0, 158.0, 102.0, 261.0, 178.0, 293.0, 118.0, ...",float64
PreRweight,163,60.0,52,"65.0, 92.0, 69.3, 67.0, 60.0, 66.2, 80.0, 72.0, 53.0, 98.0, 78.0, 57.0, 54.2, 69.1, 70.0, 84.0, 44.0, 60.8, 66.0, 54.0, ...",float64
PreBLCHOLESTEROLLDL,159,91.0,19,"84.0, 74.0, 79.0, 94.0, 53.0, 114.0, 111.0, 92.0, 106.0, 68.0, 137.0, 128.0, 113.0, 95.0, 170.0, 69.0, 93.0, 36.0, 149.0, 102.0, ...",float64
PostBLHBA1C,100,5.8,26,"5.0, 6.4, 7.5, 7.1, 7.9, 5.5, 6.8, 6.6, 4.9, 8.4, 9.1, 8.3, 6.2, 10.1, 9.7, 5.9, 10.8, 10.2, 11.3, 8.6, ...",float64
PreRsystolicfirst,99,120.0,73,"160.0, 123.0, 119.0, 134.0, 152.0, 150.0, 116.0, 120.0, 149.0, 99.0, 158.0, 144.0, 163.0, 100.0, 128.0, 159.0, 135.0, 131.0, 109.0, 147.0, ...",float64
PreBLHBA1C,95,7.5,27,"9.4, 5.3, 6.4, 7.4, 6.7, 5.8, 10.8, 7.5, 6.6, 7.8, 6.2, 9.0, 9.9, 12.8, 7.0, 9.6, 7.2, 11.0, 6.0, 12.3, ...",float64
PreRsystolicsecond,93,120.0,58,"149.0, 121.0, 164.0, 127.0, 117.0, 110.0, 130.0, 105.0, 142.0, 133.0, 116.0, 120.0, 126.0, 146.0, 135.0, 140.0, 147.0, 158.0, 134.0, 124.0, ...",float64
PostRsystolicfirst,91,120.0,79,"117.0, 153.0, 114.0, 138.0, 152.0, 128.0, 145.0, 140.0, 120.0, 98.0, 158.0, 122.0, 110.0, 190.0, 109.0, 143.0, 135.0, 148.0, 127.0, 124.0, ...",float64
PostRsystolicsecond,80,120.0,51,"112.0, 123.0, 140.0, 110.0, 165.0, 143.0, 124.0, 115.0, 136.0, 126.0, 119.0, 89.0, 130.0, 120.0, 127.0, 138.0, 141.0, 117.0, 149.0, 125.0, ...",float64
PreRdiaage,73,50.0,55,"9.0, 2.0, 54.0, 38.0, 43.0, 66.0, 40.0, 50.0, 49.0, 63.0, 36.0, 56.0, 64.0, 35.0, 48.0, 52.0, 6.0, 46.0, 45.0, 44.0, ...",float64
PreRheight,61,162.0,51,"164.0, 159.0, 156.0, 172.0, 164.592, 161.0, 175.0, 152.0, 170.0, 153.0, 150.0, 154.0, 167.0, 142.0, 155.0, 177.0, 158.0, 146.0, 168.0, 162.0, ...",float64
PreRdiastolicfirst,61,80.0,83,"74.0, 76.0, 86.0, 93.0, 95.0, 82.0, 90.0, 70.0, 103.0, 80.0, 89.0, 104.0, 81.0, 75.0, 68.0, 71.0, 97.0, 87.0, 84.0, 85.0, ...",float64
PostRdiastolicfirst,61,80.0,89,"74.0, 79.0, 89.0, 90.0, 70.0, 88.0, 103.0, 77.0, 81.0, 97.0, 83.0, 69.0, 91.0, 86.0, 80.0, 72.0, 82.0, 124.0, 95.0, 106.0, ...",float64
PreRwaist,59,90.0,47,"87.0, 90.0, 120.0, 89.0, 105.0, 84.0, 106.0, 102.0, 92.0, 99.0, 112.0, 107.0, 78.0, 93.0, 97.0, 79.0, 88.0, 82.0, 70.0, 94.0, ...",float64
PreRhip,58,90.0,63,"94.0, 96.0, 112.0, 75.0, 101.0, 110.0, 106.0, 87.0, 107.0, 93.0, 98.0, 100.0, 104.0, 105.0, 86.0, 115.0, 84.0, 95.0, 103.0, 90.0, ...",float64
PreBLAge,54,60.0,72,"56.0, 46.0, 45.0, 65.0, 64.0, 36.0, 43.0, 41.0, 68.0, 74.0, 48.0, 51.0, 63.0, 60.0, 47.0, 69.0, 42.0, 49.0, 50.0, 57.0, ...",float64
PreRdiastolicsecond,53,80.0,66,"78.0, 83.0, 105.0, 98.0, 82.0, 60.0, 90.0, 65.0, 71.0, 89.0, 72.0, 70.0, 91.0, 84.0, 93.0, 102.0, 94.0, 80.0, 87.0, 79.0, ...",float64
PostRdiastolicsecond,49,80.0,69,"79.0, 86.0, 85.0, 70.0, 91.0, 76.0, 99.0, 132.0, 77.0, 82.0, 69.0, 92.0, 80.0, 90.0, 108.0, 87.0, 100.0, 81.0, 83.0, 75.0, ...",float64
PreRstworkvalue,10,1.0,219,"5.0, 3.0, 8.0, 1.0, 4.0, 6.0, 2.0, 7.0, 10.0, 9.0",float64
PreRsthealthvalue,10,1.0,204,"1.0, 2.0, 4.0, 10.0, 3.0, 7.0, 6.0, 5.0, 8.0, 9.0",float64
PreRstsocialvalue,10,1.0,264,"1.0, 2.0, 3.0, 7.0, 10.0, 5.0, 4.0, 8.0, 6.0, 9.0",float64
PreRstfinancialvalue,10,1.0,230,"3.0, 2.0, 9.0, 1.0, 10.0, 7.0, 8.0, 5.0, 4.0, 6.0",float64
PreRstfamilyvalue,10,1.0,217,"1.0, 4.0, 7.0, 3.0, 10.0, 6.0, 2.0, 5.0, 8.0, 9.0",float64
PreRpresentoccupation,9,Homemaker,216,"Clerical/medium business, Professional/Executive/Big business, Unskilled/ landless laborer, Retired, Self-employed/ skilled, Homemaker, Unemployed(able to work), Unemployed(unable to work), Others(specify if any)",object
PreRstaplefood,7,Rice,366,"Wheat, Rice, Maize, Ragi, Bajra, Other, Jowar",object
PreReducation,7,Up to high school,213,"Up to high school, Up to intermediate, Up to primary school, Up to university, No formal schooling, University completed or higher, specify if any",object
PreRmoderateduration,5,10 - 30mins,204,"30mins - 1hr, at least 10 mins, 10 - 30mins, 1hr - 1.5hrs, >1.5hrs",object
PreRalyear,5,More than 10 yrs,56,"6 mon to 1 yrs, 1 to 5 yrs, More than 10 yrs, < 6 months, 5 to 10 yrs",object
PreRmildactivityduration,5,10 - 30mins,220,"30mins - 1hr, at least 10 mins, 10 - 30mins, 1hr - 1.5hrs, >1.5hrs",object
PreRvigorousduration,5,10 - 30mins,123,"at least 10 mins, 10 - 30mins, 30mins - 1hr, 1hr - 1.5hrs, >1.5hrs",object
PreRalmlperday,5,60 ml,29,"90 ml, 60 ml, 500 ml, 250 ml, 180 ml",object
PreRtobaverage,5,1.0,87,"2.0, 1.0, 3.0, 5.0, 4.0",float64
PreRstoyear,5,5.0,79,"3.0, 1.0, 5.0, 4.0, 2.0",float64
PreRallastmonthuse,5,every day,29,"Only on weekends, On special occasions, Once a week, 3-5 times a week, every day",object
PreRtobsmoking,5,< 6 months,42,"More than 10 yrs, 6 mon to 1 yrs, < 6 months, 1 to 5 yrs, 5 to 10 yrs",object
PreRalthreemonthsuse,4,at least once a week,33,"once in 3 months, every day, at least once a month, at least once a week",object
PreRmaritalstatus,4,Married,850,"Married, Widow/Widower, Unmarried, Divorcee/Seperated",object
PreRstodailyuse,4,1.0,104,"1.0, 2.0, 3.0, 4.0",float64
PreRlastmonthavg,4,less than 1 drink,46,"1 or 2 drinks, less than 1 drink, 3 or 4 drinks, 5 or 6 drinks",object
PreRsleepquality,4,Very good,325,"Fairly good, Very good, Very bad, Fairly bad",object
PreRdrinktype,4,lEnglish/ Hard Drink,40,"Beer, lEnglish/ Hard Drink, Desi/ Local, Wine",object
PreRmeat,3,Sometimes,378,"Sometimes, Rarely/ Never, Usually/Often",object
PreRskipbreakfast,3,Usually/Often,351,"Usually/Often, Sometimes, Rarely/ Never",object
PreRgender,3,MAle,469,"MAle, Female, Transgender",object
